N,P,K,temperature,humidity,ph,rainfall,label,Year before price(/quintal),Current price(/quintal),Percentage increase in price,recomandation
11,41,19,26.85911286,41.81420849,5.131779302,44.13827124,mothbeans,4999,9692,93.87877576,mothbeans
38,38,18,26.31051759,61.18749126,6.294130313,35.73403813,mothbeans,5671,5217,-8.005642744,No
23,37,24,28.77833449,44.2252605,7.991902443,33.95825723,mothbeans,4075,7254,78.01226994,mothbeans
25,35,20,28.90245417,43.35365671,8.923095695,71.90018566,mothbeans,4624,8973,94.05276817,mothbeans
40,45,20,29.37687468,57.69622912,6.878498176,38.34303462,mothbeans,6752,5913,-12.42594787,No
23,58,19,24.17093241,58.25204566,5.243634849,59.18953429,mothbeans,6129,9385,53.12449013,mothbeans
2,56,23,26.65333029,59.79023382,7.550090941,36.91852635,mothbeans,7244,10368,43.12534511,mothbeans
3,56,17,28.19912143,53.50567601,8.709291688,52.13580529,mothbeans,7081,8587,21.26818246,mothbeans
26,51,25,28.76488954,52.62741529,7.792508068,55.21606732,mothbeans,4009,6583,64.20553754,mothbeans
39,42,20,29.3499706,61.25353851,8.055908858,40.82840673,mothbeans,4402,9769,121.9218537,mothbeans
27,59,20,28.00937423,52.60950014,4.397698806,36.01203025,mothbeans,6290,9562,52.0190779,mothbeans
24,45,19,26.85851927,48.8246387,5.952384957,34.7426459,mothbeans,6642,9380,41.22252334,mothbeans
7,40,17,31.2123945,40.92604945,8.532078733,53.78769958,mothbeans,7574,9470,25.03300766,mothbeans
15,45,23,24.20422636,61.43378674,7.224193642,46.0203959,mothbeans,4249,10851,155.3777359,mothbeans
26,52,23,29.98835437,49.60384796,4.931890506,52.92929636,mothbeans,4525,5091,12.50828729,mothbeans
20,45,16,29.93964907,54.61813464,4.626212446,45.43669946,mothbeans,4294,9012,109.8742431,mothbeans
34,54,24,31.2119298,41.55934359,5.026003659,68.80141783,mothbeans,7312,6042,-17.36870897,No
19,51,25,26.80474415,48.23991436,3.5253661,43.87801983,mothbeans,7398,8157,10.2595296,mothbeans
29,41,21,31.49398069,62.84916863,8.86979671,64.56807592,mothbeans,5371,8283,54.21709179,mothbeans
20,50,22,30.99694676,46.42693735,9.406887533,38.31597852,mothbeans,5218,6577,26.04446148,mothbeans
11,40,23,29.61253065,63.04749127,5.80428611,50.1978269,mothbeans,5904,6288,6.504065041,mothbeans
15,54,15,29.97604322,57.03184356,8.35495812,44.86052932,mothbeans,6097,10559,73.18353289,mothbeans
35,55,22,30.88883074,52.62696801,8.634929739,55.51932414,mothbeans,5642,7398,31.12371499,mothbeans
9,59,25,30.39321309,60.16299493,7.699200949,35.37493212,mothbeans,4406,10892,147.2083522,mothbeans
40,45,18,30.43683729,55.20522037,5.261285926,30.92014047,mothbeans,7452,10332,38.647343,mothbeans
35,38,19,25.32688786,63.18180319,9.112771682,32.71129281,mothbeans,4771,5804,21.65164536,mothbeans
14,58,17,30.53684308,59.96664731,4.605700542,33.48919022,mothbeans,5951,6009,0.974626113,No
40,55,18,30.38257873,40.5926071,7.115994051,47.95406479,mothbeans,6158,8406,36.50535888,mothbeans
18,36,23,24.01825377,53.76623369,7.214078621,35.03404425,mothbeans,6576,7625,15.95194647,mothbeans
35,52,15,28.69841277,61.14754363,9.93509073,65.67591794,mothbeans,6707,8143,21.41046668,mothbeans
4,59,22,29.33743412,49.00323081,8.914074888,42.44054315,mothbeans,5046,8045,59.43321443,mothbeans
22,51,16,27.96583691,61.34900107,8.639586199,70.10472076,mothbeans,4375,7039,60.89142857,mothbeans
33,47,17,24.86803974,48.27531965,8.621514073,63.9187654,mothbeans,5982,6905,15.4296222,mothbeans
2,51,17,25.87682261,45.96341933,5.838508699,38.53254678,mothbeans,5459,10183,86.5359956,mothbeans
16,51,21,31.01963639,49.9767522,3.532008668,32.81296548,mothbeans,7179,10699,49.03189859,mothbeans
19,55,20,27.43329405,87.80507732,7.18530147,54.73367631,mungbean,6921,9810,41.74252276,mungbean
8,54,20,28.3340432,80.77275974,7.034214276,38.7976407,mungbean,8259,7714,-6.598861848,No
36,55,20,27.01470397,84.34262707,6.635968698,55.296354,mungbean,6614,7219,9.147263381,mungbean
10,56,16,28.17432665,81.04554836,6.828187499,36.35720652,mungbean,7902,8853,12.03492787,mungbean
22,56,17,29.87888063,87.32761241,6.89077995,44.75215854,mungbean,9540,8368,-12.2851153,No
9,57,24,29.89232778,89.71503316,7.165121109,42.99498978,mungbean,8856,7980,-9.891598916,No
34,59,23,28.56212158,83.24855855,6.935804256,56.48265193,mungbean,9483,7705,-18.74934093,No
31,51,25,27.53592929,85.5701901,7.196774236,53.01899249,mungbean,8005,9526,19.00062461,mungbean
0,49,18,29.68361658,87.93598094,6.990095452,41.82490236,mungbean,7245,9088,25.43823326,mungbean
21,39,20,28.14448546,82.1193047,7.064782138,46.75690086,mungbean,8654,8394,-3.004391033,No
28,35,22,29.53037621,86.73346018,7.156563094,59.87232071,mungbean,6030,9253,53.44941957,mungbean
17,52,17,27.88352946,86.45147631,6.364967184,44.64407105,mungbean,8783,9893,12.63805078,mungbean
24,42,23,28.22471276,82.35916228,6.428054409,44.01206619,mungbean,8508,8213,-3.467324871,No
28,46,16,29.008124,84.96089355,6.664187809,45.91011391,mungbean,9536,8106,-14.99580537,No
21,38,21,29.75538903,86.45193297,6.637677489,37.54602719,mungbean,7902,7574,-4.150847887,No
34,60,25,29.78416743,85.16906976,6.79385576,40.77872823,mungbean,7455,8580,15.09054326,mungbean
19,53,22,27.8640132,80.4513142,6.852884643,42.83053902,mungbean,7126,8967,25.83497053,mungbean
31,58,15,27.11026483,84.96771717,7.121571293,51.52617423,mungbean,6026,9233,53.21938268,mungbean
19,35,24,27.11030369,83.64274107,6.883308033,49.11964582,mungbean,6863,8018,16.82937491,mungbean
24,53,17,28.95451232,89.07866095,6.421271178,57.65901369,mungbean,9163,8052,-12.12484994,No
13,47,20,29.21780035,87.93724219,6.54450214,43.1386631,mungbean,7990,8566,7.209011264,mungbean
31,53,16,28.7420098,85.81675947,6.452006451,48.54598575,mungbean,6352,7171,12.89357683,mungbean
28,45,23,29.65021184,80.29868321,6.489259136,56.76278363,mungbean,9546,8319,-12.85355123,No
31,37,21,27.23924995,86.404241,6.713410626,37.31236904,mungbean,7068,8070,14.17657046,mungbean
33,60,15,28.95172351,81.67085323,6.510840928,56.51103293,mungbean,9356,9349,-0.074818298,No
34,45,21,28.18837136,82.60629652,6.287380117,37.01110438,mungbean,7379,7257,-1.653340561,No
13,57,25,28.30041493,86.20681554,6.86308576,50.47333854,mungbean,7981,8216,2.944493171,No
33,57,17,27.89636126,88.71782287,6.78415271,57.79863368,mungbean,9366,7966,-14.94768311,No
32,57,22,28.6899851,87.50436797,6.769415888,44.56598352,mungbean,8598,9646,12.18888114,mungbean
23,59,25,27.8262623,88.73100226,6.320768488,56.68833819,mungbean,9746,8425,-13.55427868,No
35,41,18,28.70562673,81.59200689,6.705008504,59.87065439,mungbean,9212,7280,-20.97264438,No
6,48,24,28.6362812,84.61431076,6.790736339,48.48319335,mungbean,7828,8609,9.977005621,mungbean
29,36,25,28.28511547,88.4393979,7.130278657,48.56690235,mungbean,6256,9411,50.43158568,mungbean
4,36,22,27.60887393,86.13316408,7.012740397,43.80041104,mungbean,8740,9040,3.432494279,No
10,59,22,28.60901145,86.99495766,7.155685016,36.94616965,mungbean,8642,9734,12.6359639,mungbean
14,48,21,29.24598976,84.80084105,6.991242362,53.43228915,mungbean,8866,8993,1.432438529,No
8,50,21,28.62911222,89.1148059,6.218923893,50.49913241,mungbean,7493,8639,15.29427466,mungbean
20,40,15,29.57329479,88.07505524,7.199495368,45.04467075,mungbean,9691,7057,-27.1798576,No
36,43,22,27.82684262,87.16679147,6.389882166,58.37249772,mungbean,7113,7647,7.507380852,mungbean
14,57,15,29.8757015,83.14796296,6.623438282,40.12044158,mungbean,8873,8210,-7.47210639,No
11,60,23,27.33684386,88.50229102,7.033012777,51.09802625,mungbean,8862,8312,-6.206273979,No
10,59,15,29.83040388,89.30428305,6.32400451,58.86687093,mungbean,7426,7242,-2.47778077,No
7,60,25,28.2753171,82.76020821,6.397636709,56.04995423,mungbean,8138,8244,1.302531334,No
2,47,15,29.86860065,85.99127934,6.401455706,58.41394143,mungbean,6724,7569,12.56692445,mungbean
20,45,22,29.5888162,89.9939693,6.904587016,54.96121262,mungbean,7814,8492,8.676734067,mungbean
2,39,15,28.07219563,82.9116472,6.478557136,49.61865305,mungbean,6055,8864,46.39141206,mungbean
27,40,24,27.84026517,89.99615558,7.063022095,52.84626009,mungbean,9277,7841,-15.47914196,No
35,48,15,27.10818093,87.4512669,6.981758362,55.03723979,mungbean,7812,7407,-5.184331797,No
4,59,25,27.68515114,81.94268594,6.227134139,54.62243308,mungbean,9992,9177,-8.15652522,No
1,48,24,29.34594634,85.60472562,6.232836962,59.03629954,mungbean,8690,7268,-16.36363636,No
36,43,21,28.36319404,84.8593608,7.140437859,52.93031105,mungbean,7957,8363,5.102425537,mungbean
11,46,24,27.65280218,89.80650642,6.459252023,56.52558045,mungbean,7218,8243,14.20060959,mungbean
34,47,19,27.31372793,85.44815232,6.568795404,53.15223123,mungbean,7360,8770,19.1576087,mungbean
21,44,18,27.06909959,86.89934108,7.12851089,50.46746116,mungbean,9830,9510,-3.255340793,No
17,58,20,28.06642822,85.91625451,6.42937879,39.23831035,mungbean,9867,7230,-26.72544846,No
25,40,21,27.73329078,81.13903037,6.248900919,44.17580911,mungbean,6718,9560,42.30425722,mungbean
2,38,18,27.53632932,89.92908171,6.619891498,45.48591922,mungbean,9808,9969,1.641517129,No
9,48,20,29.66461594,84.28187572,6.377568542,56.09542002,mungbean,9260,8626,-6.846652268,No
37,49,25,29.9145443,85.85384444,6.415459592,41.39081525,mungbean,6416,7433,15.85099751,mungbean
36,38,15,28.36363858,87.59810657,6.320662012,57.99524359,mungbean,9306,8533,-8.306468945,No
40,58,15,29.46416042,87.60890009,6.978400282,43.15411472,mungbean,8539,9618,12.63614006,mungbean
30,44,16,29.73013036,82.89166381,6.442335593,50.91511275,mungbean,9082,7127,-21.52609557,No
1,59,23,27.46852989,87.17649,7.184398832,43.78420984,mungbean,6534,8750,33.91490664,mungbean
9,48,22,27.77076285,87.09979549,6.402926221,49.50812624,mungbean,8607,8741,1.556872313,No
14,41,17,29.12939524,88.48312598,7.085982325,36.45012824,mungbean,8848,8396,-5.108499096,No
35,52,19,27.10606808,89.89593328,6.698574085,37.45680611,mungbean,7517,9224,22.70852734,mungbean
31,48,17,28.88078945,86.94206817,6.594739424,53.79732545,mungbean,9656,7396,-23.4051367,No
4,41,20,28.14720892,83.8001509,6.647965508,37.44800463,mungbean,8755,8259,-5.665334095,No
30,37,25,29.89129144,80.14487166,7.120032489,54.7960127,mungbean,9411,7944,-15.58814154,No
9,35,20,27.41503453,80.98004661,6.91380932,40.53173216,mungbean,7180,7114,-0.919220056,No
20,41,20,29.27308605,89.4875022,7.073048264,50.9246554,mungbean,6986,7394,5.840251932,mungbean
37,50,23,29.65296893,88.48587386,6.5304707,56.01913159,mungbean,6105,9931,62.66994267,mungbean
34,35,21,28.44524991,82.67639542,6.684381357,58.18713162,mungbean,9074,9077,0.033061494,No
14,37,15,27.96235681,83.97586797,6.581351374,48.9366954,mungbean,9199,7923,-13.87107294,No
23,39,22,29.25649321,81.97952224,6.86483915,42.02483277,mungbean,9832,9658,-1.769731489,No
5,45,21,28.36291385,88.00989267,6.487124217,43.05130077,mungbean,8469,8107,-4.274412563,No
22,37,20,27.62749466,86.49366929,6.605733068,39.26137642,mungbean,6761,8810,30.30616773,mungbean
40,51,17,28.66086349,86.12194568,6.860602782,50.01534317,mungbean,9381,8743,-6.800980706,No
27,56,20,29.2114218,87.11497805,6.41874299,51.53848218,mungbean,7449,7304,-1.946570009,No
31,40,22,29.40889385,86.16063492,6.365513634,53.35486977,mungbean,9334,7468,-19.99142918,No
38,36,21,28.02952623,84.8845732,6.556372966,36.12042927,mungbean,8100,9097,12.30864198,mungbean
6,37,17,28.08657178,80.35005927,6.760694228,38.14476781,mungbean,7650,7807,2.052287582,No
6,47,18,29.16174608,80.28038146,6.715276663,40.16545979,mungbean,6973,9611,37.83163631,mungbean
24,44,17,29.8596912,80.03499648,6.666380512,50.66487502,mungbean,8468,7804,-7.841284837,No
25,59,19,29.06631494,83.6869203,6.626629798,43.95183726,mungbean,9924,8648,-12.85771866,No
32,56,21,27.38538997,88.66663953,6.702772465,58.29933073,mungbean,9213,8753,-4.992944752,No
8,45,18,27.93034941,85.42058715,7.011030515,43.25095608,mungbean,9577,7471,-21.99018482,No
19,39,17,29.2808618,81.8009244,6.890156495,44.47427436,mungbean,8133,8706,7.045370712,mungbean
39,37,15,28.9973145,83.78911515,6.821747052,59.84499208,mungbean,6073,9495,56.34776881,mungbean
33,37,19,27.92678579,86.5543196,7.183189922,43.4826194,mungbean,9932,9087,-8.507853403,No
26,54,17,28.5474135,88.9570454,6.27258822,49.4897245,mungbean,7322,9306,27.09642174,mungbean
21,51,15,29.36488409,89.1886954,6.679127482,48.30159325,mungbean,6705,7458,11.23042506,mungbean
22,54,20,28.56149805,83.63802195,6.689825155,41.013132,mungbean,9098,7101,-21.94987909,No
29,45,16,28.43683487,87.91332682,6.583381939,43.12063289,mungbean,9457,7719,-18.37792112,No
4,40,21,28.79728147,80.45744422,6.725551062,44.30070517,mungbean,7883,7690,-2.448306482,No
10,37,22,28.7275267,89.12760359,7.069747814,58.52974279,mungbean,9240,8439,-8.668831169,No
4,44,19,27.95639663,83.52706038,6.921993878,43.25726752,mungbean,8937,8922,-0.167841558,No
20,45,17,28.17458662,83.69659318,6.770955317,37.2464655,mungbean,6682,7347,9.952110147,mungbean
23,45,23,28.77653519,86.69133979,6.983130466,56.12443206,mungbean,6756,9515,40.83777383,mungbean
25,48,21,28.438097,83.48991368,6.267684328,52.55469976,mungbean,6841,8153,19.17848268,mungbean
56,79,15,29.48439992,63.19915325,7.454532137,71.89090748,blackgram,4782,6315,32.05771644,blackgram
25,62,21,26.73433965,68.13999721,7.040056094,67.15096376,blackgram,7351,9395,27.80574072,blackgram
42,61,22,26.27274407,62.28814857,7.418650668,70.23207557,blackgram,7855,7495,-4.583068109,No
42,73,25,34.03679184,67.21113844,6.501869314,73.23573601,blackgram,7105,10097,42.1111893,blackgram
44,58,18,28.03644051,65.06601664,6.814410928,72.49507741,blackgram,6534,8389,28.38996021,blackgram
50,55,16,28.81460716,65.33538112,7.581442888,62.26242533,blackgram,5502,8359,51.92657216,blackgram
35,72,21,34.03619494,64.28791388,7.741418772,66.85510868,blackgram,6066,8460,39.46587537,blackgram
30,64,20,33.8642935,61.57072498,6.573531614,68.02199825,blackgram,7830,10416,33.02681992,blackgram
27,64,21,32.84213012,68.68401492,7.543804223,73.67166182,blackgram,4163,6635,59.38025462,blackgram
50,74,17,27.10053268,63.36085585,6.5408208,73.84949872,blackgram,4148,6204,49.56605593,blackgram
39,73,24,25.65842532,61.18235808,7.22405917,69.28607828,blackgram,4120,7653,85.75242718,blackgram
57,67,25,32.34744009,66.61452812,7.551364319,64.55882254,blackgram,4538,8941,97.0251212,blackgram
52,63,19,29.58949031,68.32176769,6.928898659,67.53021213,blackgram,6835,10018,46.56912948,blackgram
55,66,22,30.91219459,68.79427388,7.747775263,66.63830637,blackgram,6302,10661,69.16851793,blackgram
51,56,18,28.12787838,64.2097765,6.706505915,70.86340755,blackgram,5675,6887,21.35682819,blackgram
36,66,15,30.08545364,69.34811988,6.668238556,67.1367443,blackgram,5874,10088,71.73987062,blackgram
59,55,19,31.74379487,62.51007687,7.332375138,68.97097538,blackgram,5496,5978,8.770014556,blackgram
50,58,23,27.81326852,62.50460464,7.596802025,69.75555541,blackgram,6984,8751,25.30068729,blackgram
30,65,25,32.88733849,64.59457409,7.70650895,71.50569456,blackgram,7246,9982,37.75876346,blackgram
20,62,18,29.36358721,64.98742947,7.366542647,61.91208707,blackgram,5638,5514,-2.199361476,No
58,71,15,27.82592799,67.5861883,6.919243702,74.01229707,blackgram,5010,7729,54.27145709,blackgram
25,71,24,28.49538735,60.44848407,7.187721818,74.91559514,blackgram,7282,8950,22.90579511,blackgram
52,71,16,27.74274761,68.53997144,7.075886472,71.78615328,blackgram,5852,5212,-10.93643199,No
40,63,18,30.41588462,67.66323804,6.74441168,63.02473185,blackgram,4070,10467,157.1744472,blackgram
20,60,25,27.3254209,69.09047809,6.726469088,61.19250859,blackgram,6671,6729,0.869434867,No
48,61,21,30.28496619,61.69295127,6.628264883,65.62859526,blackgram,5397,5041,-6.59625718,No
49,68,22,28.56840626,61.53278622,7.127064207,63.49726331,blackgram,5769,9570,65.88663547,blackgram
48,62,15,25.36586097,66.6379724,7.538631462,65.81655892,blackgram,6125,10690,74.53061224,blackgram
32,66,17,34.9466155,65.26774011,7.162357641,70.1415139,blackgram,4745,10172,114.3730242,blackgram
21,63,22,25.09737391,67.72837887,6.859409487,74.61649888,blackgram,6573,6007,-8.61098433,No
20,72,19,32.47648301,64.34848735,7.397190844,65.820457,blackgram,5945,7443,25.19764508,blackgram
25,65,21,33.86351172,68.59232289,6.880245789,69.24464096,blackgram,5931,9347,57.5956837,blackgram
41,78,21,25.19857725,60.37332688,6.581313137,70.88787207,blackgram,7448,5119,-31.27013963,No
53,67,17,31.77681682,69.01852894,7.296972161,61.46892873,blackgram,5470,7122,30.20109689,blackgram
39,60,21,34.89814946,63.59948557,6.97297656,64.72797143,blackgram,6530,5174,-20.76569678,No
25,76,17,31.74105409,68.63525428,7.241148507,62.3061735,blackgram,4140,9144,120.8695652,blackgram
21,78,19,27.16159076,66.76017239,6.92009048,69.85112265,blackgram,4342,10818,149.1478581,blackgram
57,60,17,26.23773129,67.88521396,7.504608385,73.58663968,blackgram,5476,5220,-4.674945215,No
56,75,15,30.20157245,60.06534859,7.152272256,66.37171179,blackgram,5873,7324,24.70628299,blackgram
49,72,15,31.55846339,67.83563765,7.137004749,74.86960831,blackgram,7667,6770,-11.69949133,No
24,80,19,29.67892453,69.0854554,6.808041722,65.66436565,blackgram,4681,6317,34.94979705,blackgram
49,76,18,27.05365239,67.7017527,7.393631868,60.4693835,blackgram,7164,7646,6.728084869,blackgram
28,68,19,34.63880966,61.38597868,7.69950698,72.43169115,blackgram,4824,6669,38.24626866,blackgram
55,78,21,33.39438752,62.93692886,6.602888249,63.57445989,blackgram,6501,5883,-9.506229811,No
50,64,25,28.84079155,63.37230676,6.734447425,70.25496749,blackgram,5783,5511,-4.703441121,No
34,80,19,31.49338309,63.0563645,6.521217963,71.48327008,blackgram,6546,8099,23.72441185,blackgram
20,68,23,25.54960633,63.95425534,7.707332484,63.1830529,blackgram,4866,10557,116.9543773,blackgram
55,67,16,34.37329112,69.69366426,6.596719015,70.27184748,blackgram,6148,10818,75.95966168,blackgram
23,70,15,34.6008247,63.11296779,7.403623355,60.41790253,blackgram,6515,5415,-16.88411358,No
53,74,15,29.43463808,64.94329356,7.517097,72.17818157,blackgram,7662,5382,-29.75724354,No
26,67,16,29.10713092,67.90577375,7.17620823,67.83345933,blackgram,4412,8520,93.10970082,blackgram
33,80,22,28.57006111,65.71765781,6.593961761,70.0866434,blackgram,4264,6982,63.74296435,blackgram
37,79,19,27.54384835,69.3478631,7.143942758,69.40878198,blackgram,7526,10108,34.30773319,blackgram
33,75,21,33.04687968,68.93875631,6.690655045,62.30278274,blackgram,7767,5956,-23.31659585,No
22,55,20,33.95309131,69.96100028,7.423530351,61.16350463,blackgram,7439,9865,32.6119102,blackgram
20,68,17,30.11873003,60.11680815,6.578714843,71.72980375,blackgram,4113,6666,62.07148067,blackgram
43,68,20,29.57812712,66.17587668,7.497469256,69.43895491,blackgram,5831,6830,17.13256731,blackgram
44,76,22,27.26458947,68.01232937,7.775306272,68.91754359,blackgram,4507,6513,44.50854227,blackgram
34,60,16,31.35730791,64.24992106,7.322555223,63.85668948,blackgram,6879,10489,52.47855793,blackgram
21,72,17,31.52104732,66.55723677,7.580527339,61.71111448,blackgram,7379,5599,-24.12250983,No
25,68,19,29.39982732,64.25510719,7.108450121,67.47677295,blackgram,5290,6300,19.0926276,blackgram
41,62,15,29.38400259,64.14928485,7.358974541,65.24194361,blackgram,7946,6682,-15.90737478,No
28,65,23,28.38686534,61.88871127,7.405176138,74.24459122,blackgram,7971,9749,22.30585874,blackgram
35,64,15,28.47442276,63.53604453,6.500144962,69.5274407,blackgram,5710,9534,66.97022767,blackgram
52,58,16,30.64095781,61.14508627,7.167435834,71.36947525,blackgram,7554,10158,34.47180302,blackgram
58,75,25,25.25596239,61.36669662,7.261791753,68.64685069,blackgram,5527,8318,50.49755745,blackgram
34,66,19,32.97030511,60.18122078,7.586642101,73.44678678,blackgram,7732,6570,-15.02845318,No
52,70,16,33.66855394,66.60416867,7.534811833,67.32520551,blackgram,4096,9211,124.8779297,blackgram
23,57,19,32.83963757,67.99803573,7.251000789,73.40452716,blackgram,4136,5013,21.2040619,blackgram
42,58,25,27.45853567,62.90020977,6.513620918,69.46020927,blackgram,5761,5048,-12.37632355,No
37,62,17,25.68576704,69.84354028,7.121254928,74.62068748,blackgram,4728,10754,127.4534687,blackgram
44,75,22,30.0328403,64.14800537,7.574561547,71.21006868,blackgram,7238,7760,7.211936999,blackgram
21,80,20,28.20667264,68.27085245,7.350869792,64.32887142,blackgram,6016,6356,5.651595745,blackgram
56,76,16,28.27265858,61.18956161,7.513151076,63.29900785,blackgram,5819,10952,88.21103282,blackgram
29,76,15,28.5417236,64.2020154,7.025607706,69.68862306,blackgram,5083,5600,10.17115876,blackgram
43,61,20,26.87187036,61.61367264,6.804253866,63.51822045,blackgram,4817,6157,27.81814407,blackgram
55,60,15,32.79766751,68.77994074,7.163043872,64.11411069,blackgram,7846,7923,0.981391792,No
44,63,15,26.42333018,64.51136845,7.338929556,63.46546487,blackgram,4420,6964,57.55656109,blackgram
29,67,21,29.79181107,63.38789228,6.621323612,63.02169909,blackgram,4305,6638,54.19279907,blackgram
47,63,16,27.44003279,67.10464369,6.661870999,72.50669768,blackgram,4132,10360,150.7260407,blackgram
40,68,17,34.1262979,65.14877461,7.733149554,70.40795007,blackgram,5764,8874,53.9555864,blackgram
58,61,15,30.94908189,64.23364112,7.402891666,62.78730907,blackgram,4692,5928,26.342711,blackgram
41,74,18,28.75751783,61.02701476,6.599147298,73.37686831,blackgram,6692,9388,40.28690974,blackgram
58,79,17,27.24766491,66.10123083,7.04174124,62.31842057,blackgram,7308,7348,0.547345375,No
27,62,24,28.63005477,66.770943,7.353876754,62.2737345,blackgram,6551,6427,-1.892840788,No
27,60,17,26.41768321,63.64698302,7.026795359,64.42177127,blackgram,6762,5476,-19.018042,No
52,65,20,32.81705216,66.15665137,6.814301033,68.83924882,blackgram,5502,9884,79.6437659,blackgram
44,55,25,29.6321052,65.91359954,7.42160832,71.16331975,blackgram,7887,7868,-0.240902751,No
21,62,24,33.49077065,62.73317204,6.847382891,65.45328463,blackgram,6166,9056,46.86993188,blackgram
60,59,22,31.86847286,66.74217464,7.191522601,74.22238583,blackgram,4319,9138,111.5767539,blackgram
33,77,21,30.32992227,65.62971858,7.01285529,71.64631281,blackgram,6741,10621,57.55822578,blackgram
59,58,17,28.546224,66.31394098,7.368318809,62.83469851,blackgram,4212,7522,78.58499525,blackgram
29,63,17,30.02629908,67.88811637,7.26154329,66.47264636,blackgram,5255,9274,76.47954329,blackgram
59,63,18,31.65531175,60.13263713,6.52669158,66.69096751,blackgram,5617,10712,90.70678298,blackgram
29,70,15,30.33499674,63.54718862,6.872594461,74.16699119,blackgram,6618,5348,-19.19008764,No
58,73,16,33.36984395,65.67718163,6.874142175,64.89517488,blackgram,4628,5397,16.61624892,blackgram
55,77,22,31.4345059,62.99303471,7.76061831,64.77651469,blackgram,7667,5000,-34.78544411,No
42,79,23,27.71678273,63.29103387,6.781841984,68.56507978,blackgram,4415,10632,140.815402,blackgram
44,77,21,32.63918668,61.3009051,7.326980454,61.83876146,blackgram,7429,7172,-3.459415803,No
38,62,25,32.7477393,67.77954584,7.453975408,63.37784443,blackgram,5994,5072,-15.38204872,No
32,76,15,28.05153602,63.49802189,7.604110177,43.35795377,lentil,5316,6773,27.40782543,lentil
13,61,22,19.44084326,63.27771461,7.728832424,46.83130119,lentil,3829,8475,121.3371638,lentil
38,60,20,29.84823072,60.63872613,7.491217102,46.80452595,lentil,5890,5764,-2.139219015,No
11,74,17,21.36383757,69.92375891,6.633864582,46.6352865,lentil,6231,9901,58.89905312,lentil
37,71,16,26.28663931,68.51966729,7.324863481,46.13833007,lentil,4025,8419,109.1677019,lentil
29,71,18,22.17499963,62.13873825,6.410441476,53.46622584,lentil,5278,5482,3.865100417,No
2,72,18,26.57597546,60.97876599,7.836719564,50.89110726,lentil,6607,5414,-18.05660663,No
6,59,21,26.58972517,66.14007674,6.139215944,50.90994463,lentil,4208,7736,83.84030418,lentil
13,64,20,19.1345771,62.57526895,6.590571088,36.46946971,lentil,6968,7876,13.03099885,lentil
8,58,17,28.75273118,69.15640149,7.286049978,35.15426171,lentil,7001,8984,28.32452507,lentil
6,77,20,25.78746268,60.2816298,6.058306161,49.14337177,lentil,7949,9202,15.76298906,lentil
2,75,22,23.89271875,61.78779413,6.658605362,52.55730112,lentil,7531,7850,4.235825256,lentil
3,69,23,28.67408774,63.18832976,7.299360767,42.96018627,lentil,5275,5165,-2.085308057,No
27,80,24,28.42062847,61.77336343,7.815210661,49.02366803,lentil,6157,9581,55.61149911,lentil
39,78,15,21.35499456,62.60136323,5.925391795,41.78219834,lentil,6190,7021,13.42487884,lentil
40,79,17,21.12695586,63.18738532,6.403683619,38.71834464,lentil,5224,8214,57.23583461,lentil
37,62,22,24.02037872,61.62313345,7.397546271,49.78102578,lentil,3135,8952,185.5502392,lentil
31,60,24,25.40474421,65.8567539,7.722335992,51.92057267,lentil,7844,6223,-20.6654768,No
22,67,22,29.03017561,64.49166566,7.475926645,54.9393771,lentil,4631,5346,15.43942993,lentil
3,78,18,20.21368219,68.65257685,6.887130053,50.89732989,lentil,7659,6877,-10.21021021,No
4,80,16,29.19585548,68.01965728,7.441976825,44.93261911,lentil,5426,9697,78.71360118,lentil
13,61,24,18.29783597,69.6897615,7.629910253,49.39111479,lentil,6427,4815,-25.08168663,No
12,66,20,27.41434987,63.41785982,7.336117221,44.43177543,lentil,5749,5559,-3.304922595,No
4,61,21,24.84063998,60.09116626,6.75020529,48.77790371,lentil,4041,4559,12.81860926,lentil
9,60,21,29.94413861,67.31323084,7.52178027,40.37113729,lentil,5353,9474,76.9848683,lentil
18,66,22,25.87990287,67.55109024,6.347379185,47.89645224,lentil,7689,7186,-6.54181298,No
32,56,18,20.0467711,65.84395319,7.135251532,46.05333124,lentil,5349,7877,47.26117031,lentil
6,72,15,22.99451999,66.70897237,7.670178119,54.49044154,lentil,7505,6988,-6.888740839,No
15,77,20,25.13163619,66.92642362,7.399749291,49.04015558,lentil,7997,9737,21.75815931,lentil
0,65,24,28.49584395,62.44616219,7.841496029,53.14531023,lentil,7807,5700,-26.98859997,No
30,79,22,18.28766124,69.48515056,6.254216611,48.60449438,lentil,6778,6955,2.61138979,No
3,63,16,24.38041875,61.18458224,6.868881708,53.13946695,lentil,4956,6382,28.7732042,lentil
2,78,23,21.31852148,66.43934593,7.320514721,45.42616802,lentil,7212,9128,26.56683306,lentil
10,78,18,18.54141834,62.70637578,6.296976913,44.07819743,lentil,5327,8755,64.35141731,lentil
14,67,25,25.28710601,60.85993533,7.241151936,49.37369982,lentil,3337,9324,179.4126461,lentil
39,65,23,25.43459777,69.12613376,7.685959305,41.02682925,lentil,3876,6663,71.90402477,lentil
19,72,15,28.83600962,69.76112921,6.890760124,44.08562546,lentil,4294,9222,114.7647881,lentil
